;created_at;text;Lang;user.screen_name;;
128;2021-09-03 06:35:03;Aku tuh udah lama banget pengen nyoba scarlett tapi belom coba sampe sekarang. Duh elah makin mahal ini mah kalo ambassadornya song joong ki wkwkwk tapi sumpah keren loh;id;lovelikehwi;;
129;2021-09-03 06:37:28;Anjir scarlett sesukses itu ya coy sampe gaet joongki jadi BA nya ?????? tapi emang produknya makin kesini makin bagus si;id;cheerryyy___;;
130;2021-09-03 06:39:49;wih beneran song joongki jdi BA scarlett???;id;imminhae;;
131;2021-09-03 06:41:33;"Ya allah baru setengah hari tapi si adine udah hectic banget
1. Yeobeen x Marie Claire 
2. Song Joongki new Cf
3. Kim Seonho x Happy Bean
4. Song Joongki x Scarlett Whitening

LET ME BREATHE JUSEYO https://t.co/mG6Fxqd8kC";id;adinezu;;
132;2021-09-03 06:42:00;scarlett collab sama mas joongki abwjnsjsnsjwj;id;notwinniepooh;;
133;2021-09-03 06:44:40;Duh gue gamau bgt pake scarlett tp kena ba nya harus joongki sih https://t.co/wy0XygMxZh;id;dlldwnr;;
134;2021-09-03 06:44:43;Weh gile BA Scarlett song joong ki banget ga tuh??;id;haechanlee066;;
135;2021-09-03 06:45:14;jujur gue gak pernah tertarik dan gak pernah ngelirik sama scarlett. tp kalo sampe suatu saat gue beli produknya, Fix itu karena song joongki https://t.co/ZRfYqOt9Mu;id;pizza4bbh;;
136;2021-09-03 06:46:31;Body care yang ada song joong ki nya a.k.a Scarlett whitening https://t.co/BFwvzrzAW4;id;nyonyakimcotton;;
137;2021-09-03 06:47:21;Scarlett sama Song Joong ki weh;id;JaemNaTyong;;
138;2021-09-03 06:47:40;OMGG SONG JOONG KI JADI BA SCARLETT? aku sebagai pengguna scarlett seneng banget dongg?????????? https://t.co/waOafKXf5p;id;realzee_;;
139;2021-09-03 06:49:25;"Kmrn smpet rame2 ada artez local vc sm song joongki
Elah trnyata song joongki jd BA scarlett ??????????";id;yourvitaminss;;
140;2021-09-03 06:49:29;scarlett ngeluarin uang brp buat joongki??????;id;jwtaeaddict;;
141;2021-09-03 06:49:53; Beli scarlett dapet pc joongki kaga ya;id;halosungjin;;
142;2021-09-03 06:51:02;demi apaaaaaaa song joongki jadi brand ambassadornya scarlett????????;id;ltaembrace;;
143;2021-09-03 06:52:18;lagi heboh gara gara song joong ki jadi BA scarlett,pas buka twitter tau tau anak gue jadi BA skincare juga ??????;id;cheerryyy___;;
144;2021-09-03 06:52:33;Ya allah Joongki ???? ternyata kemaren VC an mo jd BA Scarlett.. Semoga ada iklan nya di TV rumah ku yaa ????????;id;lareina_sari;;
145;2021-09-03 06:54:58;Ngapa harus Scarlett sih, ini sempet kontroversi kan kmrn itu. Btw Scarlett harus benerin packaging nya sih, udah segede Song Joongki tapi packaging kayak masih produk rumahan deh. https://t.co/s6d8gESgwW;id;southborders;;
